sample,rsq_threshold,accuracy,accuracy_pval,kappa,sensitivity,specificity,AUC
top10,0.95,0.548543689320388,0.636304159972667,0.0348371495503665,0.229508196721311,0.803493449781659,0.537451976996683
top100,0.95,0.58252427184466,0.148872230327893,0.127698860139344,0.377049180327869,0.746724890829694,0.595747727110029
top100,0.9,0.592233009708738,0.074930655119405,0.144107827377272,0.366120218579235,0.77292576419214,0.593826806977355
top100,0.85,0.597087378640777,0.0505322552611539,0.165686681142801,0.437158469945355,0.724890829694323,0.610339561409788
top100,0.8,0.597087378640777,0.0505322552611539,0.175860988600487,0.497267759562842,0.676855895196507,0.604206934402367
top100,0.75,0.587378640776699,0.107386445672853,0.150350583497101,0.453551912568306,0.694323144104803,0.598551554632878
top500,0.95,0.531553398058252,0.851056206007444,0.0528397179340575,0.480874316939891,0.572052401746725,0.554453909847997
top500,0.9,0.526699029126214,0.892246848385661,0.0388112557427259,0.453551912568306,0.585152838427948,0.556422554704465
top500,0.85,0.558252427184466,0.480968244120543,0.0821807143381723,0.377049180327869,0.703056768558952,0.562698355883265
top500,0.8,0.548543689320388,0.636304159972667,0.0734856728327892,0.426229508196721,0.646288209606987,0.567399241176892
top500,0.75,0.548543689320388,0.636304159972667,0.0662149976847902,0.387978142076503,0.676855895196507,0.560884816379125
top1000,0.95,0.565533980582524,0.364916674071165,0.103868960824341,0.420765027322404,0.681222707423581,0.574032977784141
top1000,0.9,0.575242718446602,0.228815606843787,0.124872554255474,0.437158469945355,0.685589519650655,0.579211110315699
top1000,0.85,0.594660194174757,0.061799678639101,0.161131431358205,0.437158469945355,0.720524017467249,0.581907557210013
top1000,0.8,0.565533980582524,0.364916674071165,0.102866040581967,0.415300546448087,0.685589519650655,0.589233302312263
top1000,0.75,0.575242718446602,0.228815606843787,0.121931021044427,0.420765027322404,0.698689956331878,0.5854869114945
top2000,0.95,0.548543689320388,0.636304159972667,0.0734856728327892,0.426229508196721,0.646288209606987,0.563461951463956
top2000,0.9,0.54126213592233,0.740697714993259,0.0569684638860631,0.409836065573771,0.646288209606987,0.542296036461689
top2000,0.85,0.555825242718447,0.520500120121992,0.0776570757486788,0.377049180327869,0.698689956331878,0.557615672799294
top2000,0.8,0.563106796116505,0.40280224654338,0.0943064409760386,0.39344262295082,0.698689956331878,0.577445295535352
top2000,0.75,0.546116504854369,0.672777066827074,0.0606681297244574,0.382513661202186,0.676855895196507,0.553893144343427
LASSO,0.95,0.546116504854369,0.672777066827074,0.0731437370675135,0.448087431693989,0.624454148471616,0.551268284534803
LASSO,0.9,0.543689320388349,0.707659811873301,0.06352315318583,0.420765027322404,0.641921397379913,0.544037988880139
LASSO,0.85,0.555825242718447,0.520500120121992,0.094972871753013,0.469945355191257,0.624454148471616,0.546471949793591
LASSO,0.8,0.560679611650485,0.441608245840839,0.102882440691016,0.46448087431694,0.637554585152838,0.562841530054645
LASSO,0.75,0.546116504854369,0.672777066827074,0.0721167742557086,0.442622950819672,0.62882096069869,0.551650082325149
