sample,rsq_threshold,accuracy,accuracy_pval,kappa,sensitivity,specificity,AUC
top10,0.95,0.536407766990291,0.800466276856424,0.0274852933906767,0.306010928961749,0.720524017467249,0.536700312596941
top100,0.95,0.580097087378641,0.173166761587871,0.112068965517241,0.316939890710383,0.790393013100437,0.578459445915957
top100,0.9,0.577669902912621,0.199833677055362,0.104370205642038,0.300546448087432,0.799126637554585,0.575930035554919
top100,0.85,0.577669902912621,0.199833677055362,0.122524419202428,0.398907103825137,0.720524017467249,0.582742739876393
top100,0.8,0.563106796116505,0.40280224654338,0.0932876879814158,0.387978142076503,0.703056768558952,0.584269931037774
top100,0.75,0.560679611650485,0.441608245840839,0.0678033901695084,0.278688524590164,0.786026200873362,0.582683083971651
top500,0.95,0.575242718446602,0.228815606843787,0.105902777777778,0.333333333333333,0.768558951965066,0.58443696757105
top500,0.9,0.599514563106796,0.0409605267915899,0.159869494290375,0.377049180327869,0.777292576419214,0.601904216479347
top500,0.85,0.589805825242718,0.0900807639485964,0.137541495317842,0.355191256830601,0.777292576419214,0.591392846063903
top500,0.8,0.594660194174757,0.061799678639101,0.147748104840707,0.360655737704918,0.781659388646288,0.585928365189586
top500,0.75,0.58252427184466,0.148872230327893,0.121731155342934,0.344262295081967,0.77292576419214,0.579163385591906
top1000,0.95,0.58495145631068,0.126957921472553,0.115235846687095,0.284153005464481,0.825327510917031,0.593110936120457
top1000,0.9,0.58252427184466,0.148872230327893,0.112624909213854,0.295081967213115,0.812227074235808,0.591595676140024
top1000,0.85,0.589805825242718,0.0900807639485964,0.124572520619594,0.284153005464481,0.834061135371179,0.597274918271411
top1000,0.8,0.587378640776699,0.107386445672853,0.120917739789643,0.289617486338798,0.825327510917031,0.607332903810819
top1000,0.75,0.570388349514563,0.29323316288857,0.0767243998784563,0.229508196721311,0.842794759825327,0.592072923377956
top2000,0.95,0.563106796116505,0.40280224654338,0.0594323110874362,0.213114754098361,0.842794759825327,0.576896461211731
top2000,0.9,0.58252427184466,0.148872230327893,0.10123531948355,0.234972677595628,0.860262008733624,0.588589018541055
top2000,0.85,0.58495145631068,0.126957921472553,0.101744186046512,0.213114754098361,0.882096069868996,0.5973465053571
top2000,0.8,0.575242718446602,0.228815606843787,0.0731218182753123,0.163934426229508,0.903930131004367,0.598277137471067
top2000,0.75,0.575242718446602,0.228815606843787,0.0720242998352553,0.158469945355191,0.908296943231441,0.599291287851672
LASSO,0.95,0.563106796116505,0.40280224654338,0.0460754804352859,0.147540983606557,0.895196506550218,0.586847066122605
LASSO,0.9,0.587378640776699,0.107386445672853,0.104370732206337,0.202185792349727,0.895196506550218,0.601438900422364
LASSO,0.85,0.575242718446602,0.228815606843787,0.0687160940325497,0.14207650273224,0.921397379912664,0.595198892786408
LASSO,0.8,0.567961165048544,0.328291910420406,0.0600117921505295,0.169398907103825,0.88646288209607,0.584556279380533
LASSO,0.75,0.567961165048544,0.328291910420406,0.0566746417637827,0.153005464480874,0.899563318777293,0.59469778318658
