sample,rsq_threshold,accuracy,accuracy_pval,kappa,sensitivity,specificity,AUC
top100,0.95,0.587378640776699,0.107386445672853,0.124959396316933,0.311475409836066,0.807860262008734,0.588493569093469
top100,0.9,0.550970873786408,0.598539294886681,0.0526498955951079,0.295081967213115,0.755458515283843,0.580010499439235
top100,0.85,0.555825242718447,0.520500120121992,0.0596657520578699,0.284153005464481,0.77292576419214,0.577481089078197
top100,0.8,0.560679611650485,0.441608245840839,0.0645760160561966,0.262295081967213,0.799126637554585,0.579891187629752
top100,0.75,0.570388349514563,0.29323316288857,0.0904963831379397,0.300546448087432,0.786026200873362,0.564046579330422
top500,0.95,0.580097087378641,0.173166761587871,0.126091221186856,0.39344262295082,0.729257641921397,0.582265492638461
top500,0.9,0.575242718446602,0.228815606843787,0.117978077901742,0.398907103825137,0.716157205240175,0.592788794234853
top500,0.85,0.577669902912621,0.199833677055362,0.123511431715369,0.404371584699454,0.716157205240175,0.589996897892953
top500,0.8,0.580097087378641,0.173166761587871,0.129038564934747,0.409836065573771,0.716157205240175,0.590378695683299
top500,0.75,0.555825242718447,0.520500120121992,0.0776570757486788,0.377049180327869,0.698689956331878,0.57243419953707
top1000,0.95,0.604368932038835,0.0262087406891592,0.176606179499755,0.420765027322404,0.751091703056769,0.587682248788985
top1000,0.9,0.604368932038835,0.0262087406891592,0.178459581131337,0.431693989071038,0.74235807860262,0.588493569093469
top1000,0.85,0.592233009708738,0.074930655119405,0.151827071538857,0.409836065573771,0.737991266375546,0.588374257283986
top1000,0.8,0.580097087378641,0.173166761587871,0.129038564934747,0.409836065573771,0.716157205240175,0.591691125587611
top1000,0.75,0.606796116504854,0.0206850233455549,0.185790616536951,0.448087431693989,0.733624454148472,0.601570143412795
top2000,0.95,0.550970873786408,0.598539294886681,0.067576825210413,0.371584699453552,0.694323144104803,0.562936979502231
top2000,0.9,0.546116504854369,0.672777066827074,0.0627706680940099,0.39344262295082,0.668122270742358,0.564344858854129
top2000,0.85,0.543689320388349,0.707659811873301,0.0561742987351643,0.382513661202186,0.672489082969432,0.564535757749302
top2000,0.8,0.548543689320388,0.636304159972667,0.0672606441247351,0.39344262295082,0.672489082969432,0.572171713556208
top2000,0.75,0.538834951456311,0.771684701626733,0.0461335997855384,0.377049180327869,0.668122270742358,0.570143412794998
LASSO,0.95,0.533980582524272,0.826940377270689,0.0488878201274499,0.437158469945355,0.611353711790393,0.5624597322643
LASSO,0.9,0.526699029126214,0.892246848385661,0.0334921322361772,0.426229508196721,0.606986899563319,0.561290476531367
LASSO,0.85,0.526699029126214,0.892246848385661,0.0334921322361772,0.426229508196721,0.606986899563319,0.560526880950676
LASSO,0.8,0.536407766990291,0.800466276856424,0.0543645452797538,0.442622950819672,0.611353711790393,0.561910897940678
LASSO,0.75,0.531553398058252,0.851056206007444,0.0434050334440113,0.431693989071038,0.611353711790393,0.561505237788436
